"justiceName","term","caseName","issueArea","majVotes","minVotes","justice","vote","majority"
"SMinton",1949,"UNITED STATES v. SPELAR, ADMINISTRATRIX",8,8,0,89,1,2
"SMinton",1949,"ROTH, ATTORNEY GENERAL OF MICHIGAN, v. DELANO, COMPTROLLER OF THE CURRENCY, ET AL.",9,8,0,89,1,2
"SMinton",1949,"GRAHAM ET AL. v. BROTHERHOOD OF LOCOMOTIVE FIREMEN & ENGINEMEN",9,7,0,89,NA,NA
"SMinton",1949,"GRAHAM ET AL. v. BROTHERHOOD OF LOCOMOTIVE FIREMEN & ENGINEMEN",9,7,0,89,NA,NA
"SMinton",1949,"GRAHAM ET AL. v. BROTHERHOOD OF LOCOMOTIVE FIREMEN & ENGINEMEN",9,7,0,89,NA,NA
"SMinton",1949,"McGRATH, ATTORNEY GENERAL, AS SUCCESSOR TO THE ALIEN PROPERTY CUSTODIAN, v. MANUFACTURERS TRUST CO.",4,7,0,89,1,2
"SMinton",1949,"McGRATH, ATTORNEY GENERAL, AS SUCCESSOR TO THE ALIEN PROPERTY CUSTODIAN, v. MANUFACTURERS TRUST CO.",4,7,0,89,1,2
"SMinton",1949,"TREICHLER, EXECUTOR, v. WISCONSIN",8,7,1,89,1,2
"SMinton",1949,"COMMISSIONER OF INTERNAL REVENUE v. CONNELLY ET UX.",12,7,0,89,1,2
"SMinton",1949,"BOYD v. GRAND TRUNK WESTERN RAILROAD COMPANY",9,7,0,89,NA,NA
"SMinton",1949,"FAULKNER v. GIBBS",8,7,1,89,1,2
"SMinton",1949,"REILLY, POSTMASTER, v. PINKUS, TRADING AS AMERICAN HEALTH AIDS CO., ALSO KNOWN AS ENERGY FOOD CENTER",8,8,0,89,1,2
"SMinton",1949,"OAKLEY v. LOUISVILLE & NASHVILLE RAILROAD CO. ET AL.",2,8,0,89,1,2
"SMinton",1949,"OAKLEY v. LOUISVILLE & NASHVILLE RAILROAD CO. ET AL.",2,8,0,89,1,2
"SMinton",1949,"UNITED STATES ET AL. v. CAPITAL TRANSIT COMPANY ET AL.",8,5,3,89,1,2
"SMinton",1949,"UNITED STATES ET AL. v. CAPITAL TRANSIT COMPANY ET AL.",8,5,3,89,1,2
"SMinton",1949,"BROWN v. WESTERN RAILWAY OF ALABAMA",8,6,2,89,1,2
"SMinton",1949,"MANUFACTURERS TRUST CO., TRUSTEE, v. BECKER ET AL.",8,6,2,89,1,2
"SMinton",1949,"KINGSLAND, COMMISSIONER OF PATENTS, v. DORSEY",6,6,2,89,1,2
"SMinton",1949,"PARKER ET AL. v. COUNTY OF LOS ANGELES ET AL.",9,8,0,89,1,2
"SMinton",1949,"PARKER ET AL. v. COUNTY OF LOS ANGELES ET AL.",9,8,0,89,1,2
"SMinton",1949,"UNITED STATES v. YELLOW CAB CO. ET AL.",8,5,2,89,1,2
"SMinton",1949,"UNITED STATES v. YELLOW CAB CO. ET AL.",8,5,2,89,1,2
"SMinton",1949,"COLE ET AL. v. ARKANSAS",3,8,0,89,1,2
"SMinton",1949,"COLGATE-PALMOLIVE-PEET CO. v. NATIONAL LABOR RELATIONS BOARD ET AL.",7,6,2,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. AETNA CASUALTY & SURETY CO.",8,7,1,89,1,2
"SMinton",1949,"O'DONNELL, ADMINISTRATRIX, v. ELGIN, JOLIET & EASTERN RAILWAY CO.",8,4,2,89,NA,NA
"SMinton",1949,"O'DONNELL, ADMINISTRATRIX, v. ELGIN, JOLIET & EASTERN RAILWAY CO.",8,4,2,89,NA,NA
"SMinton",1949,"UNITED STATES v. TORONTO, HAMILTON & BUFFALO NAVIGATION CO.",4,8,0,89,1,2
"SMinton",1949,"WILMETTE PARK DISTRICT v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",12,7,0,89,NA,NA
"SMinton",1949,"WILMETTE PARK DISTRICT v. CAMPBELL, COLLECTOR OF INTERNAL REVENUE",10,7,0,89,NA,NA
"SMinton",1949,"ALCOA STEAMSHIP CO., INC. v. UNITED STATES",8,6,2,89,1,2
"SMinton",1949,"CARTER v. ATLANTA & ST. ANDREWS BAY RAILWAY CO.",8,6,1,89,1,2
"SMinton",1949,"CARTER v. ATLANTA & ST. ANDREWS BAY RAILWAY CO.",8,6,1,89,1,2
"SMinton",1949,"HUBSCH v. UNITED STATES",9,8,0,89,1,2
"SMinton",1949,"HUBSCH v. UNITED STATES",9,8,0,89,1,2
"SMinton",1949,"HUBSCH v. UNITED STATES",9,8,0,89,1,2
"SMinton",1949,"REO MOTORS, INC. v. COMMISSIONER OF INTERNAL REVENUE",12,8,0,89,1,2
"SMinton",1949,"UNITED STATES v. CUMBERLAND PUBLIC SERVICE CO.",12,8,0,89,1,2
"SMinton",1949,"UNITED STATES v. MOORMAN ET AL., DOING BUSINESS AS J. W. MOORMAN & SON",9,8,0,89,1,2
"SMinton",1949,"FEDERAL POWER COMMISSION v. EAST OHIO GAS CO. ET AL.",8,5,2,89,1,2
"SMinton",1949,"SAVORGNAN v. UNITED STATES ET AL.",2,6,2,89,1,2
"SMinton",1949,"DICKINSON v. PETROLEUM CONVERSION CORP.",9,7,1,89,1,2
"SMinton",1949,"UNITED STATES EX REL. EICHENLAUB v. SHAUGHNESSY, ACTING DISTRICT DIRECTOR OF IMMIGRATION AND NATURALIZATION",2,4,3,89,1,2
"SMinton",1949,"UNITED STATES EX REL. EICHENLAUB v. SHAUGHNESSY, ACTING DISTRICT DIRECTOR OF IMMIGRATION AND NATURALIZATION",2,4,3,89,1,2
"SMinton",1949,"UNITED STATES EX REL. KNAUFF v. SHAUGHNESSY, ACTING DISTRICT DIRECTOR OF IMMIGRATION AND NATURALIZATION",3,4,3,89,1,2
"SMinton",1949,"BRYAN v. UNITED STATES",1,8,0,89,1,2
"SMinton",1949,"MANNING, COLLECTOR OF INTERNAL REVENUE, v. SEELEY TUBE & BOX CO.",12,8,0,89,1,2
"SMinton",1949,"CIVIL AERONAUTICS BOARD v. STATE AIRLINES, INC.",8,6,2,89,1,2
"SMinton",1949,"CIVIL AERONAUTICS BOARD v. STATE AIRLINES, INC.",8,6,2,89,1,2
"SMinton",1949,"CIVIL AERONAUTICS BOARD v. STATE AIRLINES, INC.",8,6,2,89,1,2
"SMinton",1949,"REGENTS OF THE UNIVERSITY SYSTEM OF GEORGIA v. CARROLL ET AL.",10,7,0,89,1,2
"SMinton",1949,"REGENTS OF THE UNIVERSITY SYSTEM OF GEORGIA v. CARROLL ET AL.",10,7,0,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"SECRETARY OF AGRICULTURE v. CENTRAL ROIG REFINING CO. ET AL.",9,7,1,89,1,2
"SMinton",1949,"CHAPMAN, SECRETARY OF THE INTERIOR, v. SHERIDAN-WYOMING COAL CO., INC.",9,8,0,89,1,2
"SMinton",1949,"UNITED STATES v. MORTON SALT CO.",9,7,0,89,NA,NA
"SMinton",1949,"UNITED STATES v. MORTON SALT CO.",9,7,0,89,NA,NA
"SMinton",1949,"UNITED STATES v. MORTON SALT CO.",9,7,0,89,NA,NA
"SMinton",1949,"UNITED STATES v. MORTON SALT CO.",9,7,0,89,NA,NA
"SMinton",1949,"UNITED STATES v. MORTON SALT CO.",9,7,0,89,NA,NA
"SMinton",1949,"UNITED STATES v. MORTON SALT CO.",9,7,0,89,NA,NA
"SMinton",1949,"WISSNER ET AL. v. WISSNER",10,5,3,89,2,1
"SMinton",1949,"NEW JERSEY REALTY TITLE INSURANCE CO. v. DIVISION OF TAX APPEALS OF NEW JERSEY ET AL.",10,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. ALPERS",3,5,3,89,1,2
"SMinton",1949,"UNITED STATES ET AL. v. PACIFIC COAST WHOLESALERS' ASSOCIATION ET AL.",8,8,0,89,1,2
"SMinton",1949,"UNITED STATES ET AL. v. PACIFIC COAST WHOLESALERS' ASSOCIATION ET AL.",8,8,0,89,1,2
"SMinton",1949,"UNITED STATES v. BENEDICT ET AL., TRUSTEES, ET AL.",12,5,3,89,1,2
"SMinton",1949,"DISTRICT OF COLUMBIA v. LITTLE",1,6,2,89,1,2
"SMinton",1949,"SOLESBEE v. BALKCOM, WARDEN",4,7,1,89,1,2
"SMinton",1949,"WONG YANG SUNG v. McGRATH, ATTORNEY GENERAL, ET AL.",2,6,1,89,1,2
"SMinton",1949,"WONG YANG SUNG v. McGRATH, ATTORNEY GENERAL, ET AL.",2,6,1,89,1,2
"SMinton",1949,"UNITED STATES v. RABINOWITZ",1,5,3,89,1,2
"SMinton",1949,"UNITED STATES v. BURNISON ET AL.",10,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. BURNISON ET AL.",10,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. BURNISON ET AL.",10,7,1,89,1,2
"SMinton",1949,"UNITED STATES v. BURNISON ET AL.",10,7,1,89,1,2
"SMinton",1949,"AFFOLDER v. NEW YORK, CHICAGO & ST. LOUIS RAILROAD CO.",8,5,1,89,1,2
"SMinton",1949,"AFFOLDER v. NEW YORK, CHICAGO & ST. LOUIS RAILROAD CO.",8,5,1,89,1,2
"SMinton",1949,"HIATT, WARDEN, v. BROWN",2,8,0,89,1,2
"SMinton",1949,"REIDER v. THOMPSON, TRUSTEE, MISSOURI PACIFIC RAILROAD CO.",8,6,1,89,1,2
"SMinton",1949,"UNITED STATES v. COMMODITIES TRADING CORP. ET AL.",4,6,2,89,1,2
"SMinton",1949,"UNITED STATES v. COMMODITIES TRADING CORP. ET AL.",4,6,2,89,1,2
"SMinton",1949,"UNITED STATES v. COMMODITIES TRADING CORP. ET AL.",4,6,2,89,1,2
"SMinton",1949,"UNITED STATES v. COMMODITIES TRADING CORP. ET AL.",4,6,2,89,1,2
"SMinton",1949,"RAILWAY LABOR EXECUTIVES' ASSOCIATION v. UNITED STATES ET AL.",8,4,3,89,1,2
"SMinton",1949,"STANDARD-VACUUM OIL CO. v. UNITED STATES",9,8,0,89,1,2
"SMinton",1949,"DENNIS v. UNITED STATES",1,5,2,89,1,2
"SMinton",1949,"UNITED STATES et al. v. UNITED STATES SMELTING REFINING & MINING CO. et al.",9,6,1,89,1,2
"SMinton",1949,"DARR v. BURFORD, WARDEN",9,5,3,89,1,2
"SMinton",1949,"SLOCUM, GENERAL CHAIRMAN, LACKAWANNA DIVISION NO. 30, ORDER OF RAILROAD TELEGRAPHERS, v. DELAWARE, LACKAWANNA & WESTERN RAILROAD CO.",10,7,1,89,1,2
"SMinton",1949,"ORDER OF RAILWAY CONDUCTORS OF AMERICA v. SOUTHERN RAILWAY CO.",10,7,1,89,1,2
"SMinton",1949,"MORFORD v. UNITED STATES",1,8,0,89,1,2
"SMinton",1949,"UNITED STATES v. WESTINGHOUSE ELECTRIC & MANUFACTURING CO.",4,7,1,89,1,2
"SMinton",1949,"SOUTH ET AL. v. PETERS, CHAIRMAN OF THE GEORGIA STATE DEMOCRATIC EXECUTIVE COMMITTEE, ET AL.",9,7,2,89,1,2
"SMinton",1949,"CASSELL v. TEXAS",2,7,1,89,4,2
"SMinton",1949,"MULLANE, SPECIAL GUARDIAN, v. CENTRAL HANOVER BANK & TRUST CO., TRUSTEE, ET AL.",4,7,1,89,1,2
"SMinton",1949,"SHIPMAN ET AL., TRADING AS SHIPMAN BROTHERS, ET AL. v. DuPRE ET AL.",9,8,1,89,1,2
"SMinton",1949,"UNITED STATES v. BRYAN",1,5,2,89,1,2
"SMinton",1949,"UNITED STATES v. BRYAN",1,5,2,89,1,2
"SMinton",1949,"UNITED STATES v. FLEISCHMAN",1,5,2,89,1,2
"SMinton",1949,"AMERICAN COMMUNICATIONS ASSN., C. I. O., ET AL. v. DOUDS, REGIONAL DIRECTOR OF THE NATIONAL LABOR RELATIONS BOARD",3,5,1,89,NA,NA
"SMinton",1949,"AMERICAN COMMUNICATIONS ASSN., C. I. O., ET AL. v. DOUDS, REGIONAL DIRECTOR OF THE NATIONAL LABOR RELATIONS BOARD",3,5,1,89,NA,NA
"SMinton",1949,"AMERICAN COMMUNICATIONS ASSN., C. I. O., ET AL. v. DOUDS, REGIONAL DIRECTOR OF THE NATIONAL LABOR RELATIONS BOARD",3,5,1,89,NA,NA
"SMinton",1949,"AMERICAN COMMUNICATIONS ASSN., C. I. O., ET AL. v. DOUDS, REGIONAL DIRECTOR OF THE NATIONAL LABOR RELATIONS BOARD",3,5,1,89,NA,NA
"SMinton",1949,"AMERICAN COMMUNICATIONS ASSN., C. I. O., ET AL. v. DOUDS, REGIONAL DIRECTOR OF THE NATIONAL LABOR RELATIONS BOARD",3,5,1,89,NA,NA
"SMinton",1949,"AMERICAN COMMUNICATIONS ASSN., C. I. O., ET AL. v. DOUDS, REGIONAL DIRECTOR OF THE NATIONAL LABOR RELATIONS BOARD",3,5,1,89,NA,NA
"SMinton",1949,"AMERICAN COMMUNICATIONS ASSN., C. I. O., ET AL. v. DOUDS, REGIONAL DIRECTOR OF THE NATIONAL LABOR RELATIONS BOARD",3,5,1,89,NA,NA
"SMinton",1949,"AMERICAN COMMUNICATIONS ASSN., C. I. O., ET AL. v. DOUDS, REGIONAL DIRECTOR OF THE NATIONAL LABOR RELATIONS BOARD",3,5,1,89,NA,NA
"SMinton",1949,"INTERNATIONAL UNION OF UNITED AUTOMOBILE, ETC. WORKERS OF AMERICA, C. I. O., ET AL. v. O'BRIEN, PROSECUTING ATTORNEY, ET AL.",10,9,0,89,1,2
"SMinton",1949,"HUGHES ET AL. v. SUPERIOR COURT OF CALIFORNIA FOR CONTRA COSTA COUNTY",3,8,0,89,4,2
"SMinton",1949,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, ETC. UNION, LOCAL 309, ET AL. v. HANKE ET AL., DOING BUSINESS AS ATLAS AUTO REBUILD",3,5,3,89,2,1
"SMinton",1949,"INTERNATIONAL BROTHERHOOD OF TEAMSTERS, ETC. UNION, LOCAL 309, ET AL. v. HANKE ET AL., DOING BUSINESS AS ATLAS AUTO REBUILD",3,5,3,89,2,1
"SMinton",1949,"UNITED STATES v. NATIONAL ASSOCIATION OF REAL ESTATE BOARDS ET AL.",8,6,1,89,1,2
"SMinton",1949,"UNITED STATES v. NATIONAL ASSOCIATION OF REAL ESTATE BOARDS ET AL.",8,6,1,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"POWELL ET AL. v. UNITED STATES CARTRIDGE CO.",7,5,2,89,1,2
"SMinton",1949,"BUILDING SERVICE EMPLOYEES INTERNATIONAL UNION, LOCAL 262, ET AL. v. GAZZAM",3,8,0,89,1,2
"SMinton",1949,"CAPITOL GREYHOUND LINES ET AL. v. BRICE, COMMISSIONER OF MOTOR VEHICLES",8,6,2,89,1,2
"SMinton",1949,"NATIONAL LABOR RELATIONS BOARD v. MEXIA TEXTILE MILLS, INC.",9,7,0,89,1,2
"SMinton",1949,"NATIONAL LABOR RELATIONS BOARD v. POOL MANUFACTURING CO.",9,7,0,89,1,2
"SMinton",1949,"BROWN SHOE CO., INC. v. COMMISSIONER OF INTERNAL REVENUE",12,8,1,89,1,2
"SMinton",1949,"EWING, FEDERAL SECURITY ADMINISTRATOR, ET AL. v. MYTINGER & CASSELBERRY, INC.",4,6,2,89,1,2
"SMinton",1949,"EWING, FEDERAL SECURITY ADMINISTRATOR, ET AL. v. MYTINGER & CASSELBERRY, INC.",8,6,2,89,1,2
"SMinton",1949,"GRAVER TANK & MFG. CO., INC. ET AL. v. LINDE AIR PRODUCTS CO.",8,6,2,89,NA,NA
"SMinton",1949,"COMMISSIONER OF INTERNAL REVENUE v. KORELL",12,6,1,89,1,2
"SMinton",1949,"SWEATT v. PAINTER ET AL.",2,9,0,89,1,2
"SMinton",1949,"McLAURIN v. OKLAHOMA STATE REGENTS FOR HIGHER EDUCATION ET AL.",2,9,0,89,1,2
"SMinton",1949,"TRAVELERS HEALTH ASSOCIATION ET AL. v. VIRGINIA EX REL. STATE CORPORATION COMMISSION",4,5,4,89,2,1
"SMinton",1949,"QUICKSALL v. MICHIGAN",1,7,1,89,1,2
"SMinton",1949,"SKELLY OIL CO. ET AL. v. PHILLIPS PETROLEUM CO.",9,5,3,89,1,2
"SMinton",1949,"SWIFT & COMPANY PACKERS ET AL. v. COMPANIA COLOMBIANA DEL CARIBE, S. A. ET AL.",9,8,0,89,1,2
"SMinton",1949,"UNITED STATES v. GERLACH LIVE STOCK CO.",4,9,0,89,1,2
"SMinton",1949,"UNITED STATES v. GERLACH LIVE STOCK CO.",4,9,0,89,1,2
"SMinton",1949,"UNITED STATES v. GERLACH LIVE STOCK CO.",4,9,0,89,1,2
"SMinton",1949,"UNITED STATES v. GERLACH LIVE STOCK CO.",4,9,0,89,1,2
"SMinton",1949,"UNITED STATES v. GERLACH LIVE STOCK CO.",4,9,0,89,1,2
"SMinton",1949,"UNITED STATES v. GERLACH LIVE STOCK CO.",4,9,0,89,1,2
"SMinton",1949,"JOHNSON, SECRETARY OF DEFENSE, ET AL. v. EISENTRAGER, ALIAS EHRHARDT, ET AL.",1,6,3,89,1,2
"SMinton",1949,"JOHNSON, SECRETARY OF DEFENSE, ET AL. v. EISENTRAGER, ALIAS EHRHARDT, ET AL.",1,6,3,89,1,2
